"module","module_content_number","multi_omics_num","include_genes","genes","include_metabolites","metabolites","include_pathways","pathways"
"Functional_module_1",21,3,TRUE,"A1BG/APOA1/CD63/CLU/GBA/ITGA2B/ITIH3/ITIH4/LBP/NAXE/PPBP/TIMP3",TRUE,"C00550",TRUE,"R-HSA-2168880/R-HSA-2173782/R-HSA-3000480/R-HSA-9707616/R-HSA-9711123/R-HSA-9755511/R-HSA-9759194/R-HSA-9818027"
"Functional_module_10",1,1,TRUE,"ACSL5",FALSE,NA,FALSE,NA
"Functional_module_100",2,2,TRUE,"THEM4",TRUE,"C01595",FALSE,NA
"Functional_module_101",1,1,FALSE,NA,TRUE,"C01620",FALSE,NA
"Functional_module_102",1,1,FALSE,NA,TRUE,"C02505",FALSE,NA
"Functional_module_103",1,1,FALSE,NA,TRUE,"C03958",FALSE,NA
"Functional_module_104",1,1,FALSE,NA,TRUE,"C05377",FALSE,NA
"Functional_module_105",1,1,FALSE,NA,TRUE,"C05469",FALSE,NA
"Functional_module_106",1,1,FALSE,NA,TRUE,"C05903",FALSE,NA
"Functional_module_107",1,1,FALSE,NA,TRUE,"C05963",FALSE,NA
"Functional_module_108",1,1,FALSE,NA,TRUE,"C06984",FALSE,NA
"Functional_module_109",1,1,FALSE,NA,TRUE,"C07839",FALSE,NA
"Functional_module_11",1,1,TRUE,"ACVR1",FALSE,NA,FALSE,NA
"Functional_module_110",1,1,FALSE,NA,TRUE,"C10447",FALSE,NA
"Functional_module_111",1,1,FALSE,NA,TRUE,"C10478",FALSE,NA
"Functional_module_112",1,1,TRUE,"C10H20orf27",FALSE,NA,FALSE,NA
"Functional_module_113",1,1,FALSE,NA,TRUE,"C11924",FALSE,NA
"Functional_module_114",1,1,FALSE,NA,TRUE,"C13008",FALSE,NA
"Functional_module_115",1,1,FALSE,NA,TRUE,"C14291",FALSE,NA
"Functional_module_116",1,1,TRUE,"C14H11orf52",FALSE,NA,FALSE,NA
"Functional_module_117",1,1,TRUE,"C15H9orf64",FALSE,NA,FALSE,NA
"Functional_module_118",1,1,FALSE,NA,TRUE,"C16038",FALSE,NA
"Functional_module_119",1,1,TRUE,"C16H17orf49",FALSE,NA,FALSE,NA
"Functional_module_12",4,1,TRUE,"ACVR1B/BAMBI/NEO1/WNT7A",FALSE,NA,FALSE,NA
"Functional_module_120",1,1,TRUE,"C16orf7",FALSE,NA,FALSE,NA
"Functional_module_121",1,1,TRUE,"C1H1orf159",FALSE,NA,FALSE,NA
"Functional_module_122",1,1,TRUE,"C1orf216",FALSE,NA,FALSE,NA
"Functional_module_123",1,1,TRUE,"C3orf78",FALSE,NA,FALSE,NA
"Functional_module_124",1,1,TRUE,"C6orf106",FALSE,NA,FALSE,NA
"Functional_module_125",1,1,TRUE,"C6orf125",FALSE,NA,FALSE,NA
"Functional_module_126",1,1,TRUE,"C8orf82",FALSE,NA,FALSE,NA
"Functional_module_127",1,1,TRUE,"C9orf16",FALSE,NA,FALSE,NA
"Functional_module_128",1,1,TRUE,"CA1",FALSE,NA,FALSE,NA
"Functional_module_129",1,1,TRUE,"CA11",FALSE,NA,FALSE,NA
"Functional_module_13",1,1,TRUE,"ADAM22",FALSE,NA,FALSE,NA
"Functional_module_130",1,1,TRUE,"CACNA1B",FALSE,NA,FALSE,NA
"Functional_module_131",1,1,TRUE,"CADM3",FALSE,NA,FALSE,NA
"Functional_module_132",1,1,TRUE,"CALHM6",FALSE,NA,FALSE,NA
"Functional_module_133",1,1,TRUE,"CAMKK2",FALSE,NA,FALSE,NA
"Functional_module_134",3,1,TRUE,"CANT1/GUK1/NUDT16",FALSE,NA,FALSE,NA
"Functional_module_135",1,1,TRUE,"CAPN10",FALSE,NA,FALSE,NA
"Functional_module_136",1,1,TRUE,"CBX7",FALSE,NA,FALSE,NA
"Functional_module_137",1,1,TRUE,"CBY1",FALSE,NA,FALSE,NA
"Functional_module_138",1,1,TRUE,"CCDC186",FALSE,NA,FALSE,NA
"Functional_module_139",1,1,TRUE,"CCDC3",FALSE,NA,FALSE,NA
"Functional_module_14",1,1,TRUE,"ADAMTSL5",FALSE,NA,FALSE,NA
"Functional_module_140",1,1,TRUE,"CCDC30",FALSE,NA,FALSE,NA
"Functional_module_141",1,1,TRUE,"CCDC51",FALSE,NA,FALSE,NA
"Functional_module_142",1,1,TRUE,"CCDC73",FALSE,NA,FALSE,NA
"Functional_module_143",1,1,TRUE,"CCDC92",FALSE,NA,FALSE,NA
"Functional_module_144",1,1,TRUE,"CCNJL",FALSE,NA,FALSE,NA
"Functional_module_145",14,1,TRUE,"CD244/CDK5/EFNA5/EFNB1/IGF2R/LCP2/MED31/MRPL39/POLR1C/PPARGC1B/PPP1R26/PRDM16/ROBO1/SORT1",FALSE,NA,FALSE,NA
"Functional_module_146",1,1,TRUE,"CD300A",FALSE,NA,FALSE,NA
"Functional_module_147",1,1,TRUE,"CD5L",FALSE,NA,FALSE,NA
"Functional_module_148",1,1,TRUE,"CD99L2",FALSE,NA,FALSE,NA
"Functional_module_149",1,1,TRUE,"CDC34",FALSE,NA,FALSE,NA
"Functional_module_15",1,1,TRUE,"ADGRA2",FALSE,NA,FALSE,NA
"Functional_module_150",1,1,TRUE,"CDH20",FALSE,NA,FALSE,NA
"Functional_module_151",1,1,TRUE,"CDK5RAP3",FALSE,NA,FALSE,NA
"Functional_module_152",10,1,TRUE,"CEL/COX7A1/COX7A2/COX7A2L/MGLL/NDUFA10/NDUFS2/NDUFS6/TRIR/UQCRQ",FALSE,NA,FALSE,NA
"Functional_module_153",1,1,TRUE,"CES1",FALSE,NA,FALSE,NA
"Functional_module_154",1,1,TRUE,"CHCHD6",FALSE,NA,FALSE,NA
